source_medium	campaignName	campaignKeyword	deviceType_standard	day_of_week	campaignContent	nb_conversions	nb_visits	conversion_rate
none	not_set	что можно подарить жене	not_set	not_set	not_set	5	29	17.24
none	not_set	(adwords) www.kuponika.ru	not_set	not_set	not_set	12	42	28.57
none	not_set	(adwords) 5ka-sale.ru	not_set	not_set	not_set	9	38	23.68
none	not_set	что подарить маме	not_set	not_set	not_set	72	407	17.69
none	not_set	что купить на 8 марта девушки	not_set	not_set	not_set	7	29	24.14
yandex/cpc	not_set	букет из конфет купить в москве	not_set	not_set	not_set	26	35	74.29
googleads.g.doubleclick.net/campaigns	not_set	(adwords) today-job.ru	not_set	not_set	not_set	3	21	14.29
yandex/cpc	not_set	что подарить учителю на 8 марта	not_set	not_set	not_set	32	67	47.76
none	not_set	logo	not_set	not_set	not_set	102	57	178.95
none	not_set	(adwords) www.o-prirode.com	not_set	not_set	not_set	8	42	19.05
yandex/cpc	not_set	идеи подарков на 8 марта	not_set	not_set	not_set	14	60	23.33
none	not_set	что подарить девушке на 8 марта	not_set	not_set	not_set	228	815	27.98
none	not_set	что можно подарить девушке на 8 марта	not_set	not_set	not_set	26	136	19.12
none	not_set	(adwords) xn----8sbggdekmzvejcmfh8a7s.xn--p1ai	not_set	not_set	not_set	2	101	1.98
none	not_set	(adwords) pozdrav.a-angel.ru	not_set	not_set	not_set	3	31	9.68
googleads.g.doubleclick.net/campaigns	not_set	(adwords) zhenskoe-mnenie.ru	not_set	not_set	not_set	1	27	3.7
none	not_set	наборы на 8 марта	not_set	not_set	not_set	48	81	59.26
none	not_set	что подарить маме от дочки	not_set	not_set	not_set	5	38	13.16
none	not_set	что подарить маме на 8 марта	not_set	not_set	not_set	131	472	27.75
googleads.g.doubleclick.net/campaigns	not_set	(adwords) sbank-gid.ru	not_set	not_set	not_set	3	81	3.7
googleads.g.doubleclick.net/campaigns	not_set	(adwords) katalogika.ru	not_set	not_set	not_set	11	48	22.92
none	not_set	дешевый подарок на 8 марта	not_set	not_set	not_set	13	43	30.23
none	not_set	подарить свекрови	not_set	not_set	not_set	12	30	40
yandex/cpc	not_set	сладкие открытки с днем рождения	not_set	not_set	not_set	17	88	19.32
yandex/cpc	not_set	подарки на 8 марта недорого и оригинально	not_set	not_set	not_set	10	26	38.46
none	not_set	подарки на 8 марта екатеринбург	not_set	not_set	not_set	19	34	55.88
none	not_set	(adwords) sbank-gid.ru	not_set	not_set	not_set	3	87	3.45
googleads.g.doubleclick.net/campaigns	not_set	(adwords) sadovnikpro.ru	not_set	not_set	not_set	16	232	6.9
none	not_set	(adwords) axifla.ru	not_set	not_set	not_set	1	28	3.57
yandex/cpc	not_set	оригинальные подарки на 8 марта	not_set	not_set	not_set	48	171	28.07
none	not_set	купить подарок на 8 марта недорого	not_set	not_set	not_set	12	30	40
none	not_set	подарок для мамы	not_set	not_set	not_set	86	406	21.18
yandex/cpc	not_set	подарки женщинам на 8 марта	not_set	not_set	not_set	118	293	40.27
googleads.g.doubleclick.net/campaigns	not_set	(adwords) legkovmeste.ru	not_set	not_set	not_set	15	77	19.48
yandex/cpc	not_set	что можно подарить девушке	not_set	not_set	not_set	16	65	24.62
none	not_set	букет из конфет для мужчины	not_set	not_set	not_set	10	41	24.39
none	not_set	подарок подруге на 8 марта	not_set	not_set	not_set	9	31	29.03
none	not_set	(adwords) sekreti-domovodstva.ru	not_set	not_set	not_set	18	91	19.78
none	not_set	что подарить девочке на 8 марта	not_set	not_set	not_set	42	202	20.79
none	not_set	group	not_set	not_set	not_set	35	34	102.94
yandex/cpc	not_set	инструменты из шоколада	not_set	not_set	not_set	59	79	74.68
none	not_set	интернет магазин сладостей	not_set	not_set	not_set	7	32	21.88
none	not_set	подарки девочкам на 8 марта в школе	not_set	not_set	not_set	27	48	56.25
yandex/cpc	not_set	что можно подарить женщине на 8 марта	not_set	not_set	not_set	3	25	12
yandex/cpc	not_set	none	not_set	not_set	not_set	59	116	50.86
none	not_set	какой подарок девушки на 8 марта	not_set	not_set	not_set	4	24	16.67
none	not_set	что можно подарить девушке	not_set	not_set	not_set	20	80	25
googleads.g.doubleclick.net/campaigns	not_set	(adwords) giftpic.ru	not_set	not_set	not_set	29	200	14.5
yandex/cpc	not_set	что подарить коллегам на работе 8 марта	not_set	not_set	not_set	51	135	37.78
none	not_set	подарки девочкам на 8 марта купить	not_set	not_set	not_set	5	25	20
yandex/cpc	not_set	подарок любимой на 8 марта	not_set	not_set	not_set	11	35	31.43
none	not_set	конфетные букеты	not_set	not_set	not_set	9	22	40.91
none	not_set	подарки детям на день рождения	not_set	not_set	not_set	13	22	59.09
googleads.g.doubleclick.net/campaigns	not_set	(adwords) axifla.ru	not_set	not_set	not_set	0	25	0
yandex/cpc	not_set	что подарить любимой на 8 марта	not_set	not_set	not_set	5	42	11.9
googleads.g.doubleclick.net/campaigns	not_set	(adwords) probnick.ru	not_set	not_set	not_set	5	21	23.81
none	not_set	что подарить коллегам на работе 8 марта	not_set	not_set	not_set	59	171	34.5
www.googleadservices.com/referral	not_set	none	not_set	not_set	not_set	3	29	10.34
spb.confaelshop.ru/direct entry	not_set	none	not_set	not_set	not_set	10	21	47.62
none	not_set	подарок воспитателю на 8 марта	not_set	not_set	not_set	8	23	34.78
yandex/cpc	not_set	подарок бабушке на 8 марта	not_set	not_set	not_set	10	28	35.71
yandex/cpc	not_set	подарок маме на 8 марта	not_set	not_set	not_set	64	199	32.16
yandex/cpc	not_set	букет конфеты 8 марта	not_set	not_set	not_set	25	70	35.71
www.yandex.ru/organic	not_set	none	not_set	not_set	not_set	56	69	81.16
googleads.g.doubleclick.net/campaigns	not_set	(adwords) xn----8sbggdekmzvejcmfh8a7s.xn--p1ai	not_set	not_set	not_set	3	121	2.48
yandex/cpc	not_set	кондитерский интернет магазин	not_set	not_set	not_set	44	92	47.83
yandex/cpc	not_set	подарить теще	not_set	not_set	not_set	4	39	10.26
none	not_set	(adwords) every-holiday.ru	not_set	not_set	not_set	3	24	12.5
away.vk.com/referral	not_set	none	not_set	not_set	not_set	52	104	50
none	not_set	(adwords) ladyspecial.ru	not_set	not_set	not_set	1	21	4.76
com.google.android.googlequicksearchbox/organic	not_set	none	not_set	not_set	not_set	362	1355	26.72
yandex/cpc	not_set	подарок учителю на 8 марта	not_set	not_set	not_set	23	49	46.94
none	not_set	(adwords) www.krupskaya-shop.ru	not_set	not_set	not_set	18	51	35.29
yandex/cpc	not_set	подарки на 8 марта коллегам	not_set	not_set	not_set	70	109	64.22
none	not_set	(adwords) bestgif.su	not_set	not_set	not_set	4	69	5.8
yandex/cpc	not_set	что можно купить маме на 8 марта	not_set	not_set	not_set	2	22	9.09
yandex/cpc	not_set	дешевый подарок на 8 марта	not_set	not_set	not_set	9	33	27.27
none	not_set	(adwords) www.davno.ru	not_set	not_set	not_set	21	204	10.29
none	not_set	что подарить девушке недорого	not_set	not_set	not_set	7	22	31.82
yandex/cpc	not_set	подарочные корзины на 8 марта	not_set	not_set	not_set	71	117	60.68
none	not_set	подарки на 8 марта интернет магазин	not_set	not_set	not_set	16	30	53.33
yandex/cpc	not_set	что подарить на 8 марта подруге недорого	not_set	not_set	not_set	4	22	18.18
yandex/cpc	not_set	подарок дочке на 8 марта	not_set	not_set	not_set	10	38	26.32
none	not_set	(adwords) katalogika.ru	not_set	not_set	not_set	15	67	22.39
yandex/cpc	not_set	магазин сладостей	not_set	not_set	not_set	16	27	59.26
none	not_set	что подарить одноклассницам на 8 марта	not_set	not_set	not_set	23	124	18.55
googleads.g.doubleclick.net/campaigns	not_set	(adwords) ladyelena.ru	not_set	not_set	not_set	6	49	12.24
yandex/cpc	not_set	прикольные подарки на 8 марта	not_set	not_set	not_set	12	38	31.58
im/newsletter	not_set	logo	not_set	not_set	not_set	46	35	131.43
yandex/cpc	not_set	что можно подарить жене	not_set	not_set	not_set	7	30	23.33
yandex/cpc	not_set	подарок на 8 марта начальнице	not_set	not_set	not_set	7	24	29.17
none	not_set	что можно подарить учительнице на 8 марта	not_set	not_set	not_set	7	30	23.33
yandex/cpc	not_set	подарки на 8 марта спб	not_set	not_set	not_set	15	28	53.57
none	not_set	(adwords) joom-ru.ru	not_set	not_set	not_set	5	24	20.83
none	not_set	подарок жене 8 марту	not_set	not_set	not_set	40	167	23.95
yandex/cpc	not_set	что можно подарить на 8 марта	not_set	not_set	not_set	3	26	11.54
none	not_set	подарок бабушке на 8 марта	not_set	not_set	not_set	15	34	44.12
none	not_set	подарить на 8 марта сотрудницам	not_set	not_set	not_set	13	35	37.14
none	not_set	подарки к 8 марта сотрудницам	not_set	not_set	not_set	42	64	65.62
yandex/cpc	not_set	интересные подарки 8 марта	not_set	not_set	not_set	12	33	36.36
www.confael.ru/referral	not_set	none	not_set	not_set	not_set	1458	1099	132.67
none	not_set	что подарить учителю на 8 марта	not_set	not_set	not_set	54	116	46.55
googleads.g.doubleclick.net/campaigns	not_set	(adwords) page365.ru	not_set	not_set	not_set	5	41	12.2
none	not_set	(adwords) darlike.ru	not_set	not_set	not_set	25	441	5.67
none	not_set	сладкие букеты	not_set	not_set	not_set	38	84	45.24
yandex/cpc	not_set	что подарить женщине	not_set	not_set	not_set	11	58	18.97
none	not_set	(adwords) magazinnoff.ru	not_set	not_set	not_set	11	100	11
yandex/cpc	not_set	сладкие букеты	not_set	not_set	not_set	21	63	33.33
googleads.g.doubleclick.net/campaigns	not_set	(adwords) www.ktokogda.com	not_set	not_set	not_set	0	26	0
yandex/cpc	not_set	популярные подарки на 8 марта	not_set	not_set	not_set	3	22	13.64
googleads.g.doubleclick.net/campaigns	not_set	(adwords) www.o-prirode.com	not_set	not_set	not_set	5	38	13.16
googleads.g.doubleclick.net/campaigns	not_set	(adwords) dnevnyk-uspeha.com	not_set	not_set	not_set	17	55	30.91
none	not_set	подарки коллегам по работе на 8 марта	not_set	not_set	not_set	61	139	43.88
none	not_set	что подарить жене на 8 марта	not_set	not_set	not_set	63	414	15.22
www.google.com/organic	not_set	none	not_set	not_set	not_set	331	1245	26.59
googleads.g.doubleclick.net/campaigns	not_set	(adwords) animated-gif.su	not_set	not_set	not_set	0	22	0
none	not_set	букет из конфет	not_set	not_set	not_set	117	285	41.05
googleads.g.doubleclick.net/campaigns	not_set	(adwords) heaclub.ru	not_set	not_set	not_set	8	93	8.6
yandex/cpc	not_set	подарок на восьмое марта	not_set	not_set	not_set	6	27	22.22
googleads.g.doubleclick.net/campaigns	not_set	(adwords) diskontnie-karty-let.ru	not_set	not_set	not_set	13	143	9.09
none	not_set	(adwords) 2018-2018.ru	not_set	not_set	not_set	0	21	0
none	not_set	что можно подарить маме на 8 марта	not_set	not_set	not_set	26	115	22.61
googleads.g.doubleclick.net/campaigns	not_set	(adwords) s-zametki.ru	not_set	not_set	not_set	1	40	2.5
yandex/cpc	not_set	конфаэль конфеты официальный сайт	not_set	not_set	not_set	78	51	152.94
none	not_set	(adwords) nacrestike.ru	not_set	not_set	not_set	7	45	15.56
yandex/cpc	not_set	шоколадный букет	not_set	not_set	not_set	16	29	55.17
none	not_set	что подарить девушке на 8 марта недорогое	not_set	not_set	not_set	9	39	23.08
googleads.g.doubleclick.net/campaigns	not_set	(adwords) www.kak-poznakomitsya-s-devushkoi.ru	not_set	not_set	not_set	11	29	37.93
googleads.g.doubleclick.net/campaigns	not_set	(adwords) www-5ka-card.ru	not_set	not_set	not_set	5	24	20.83
none	not_set	кондитерские магазины в москве	not_set	not_set	not_set	16	42	38.1
none	not_set	(adwords) popodarkam.ru	not_set	not_set	not_set	6	30	20
none	not_set	что можно купить на 8 марта	not_set	not_set	not_set	11	30	36.67
googleads.g.doubleclick.net/campaigns	not_set	(adwords) www.prostochek.ru	not_set	not_set	not_set	2	25	8
none	not_set	(adwords) www.kak-poznakomitsya-s-devushkoi.ru	not_set	not_set	not_set	10	27	37.04
googleads.g.doubleclick.net/campaigns	not_set	(adwords) sekreti-domovodstva.ru	not_set	not_set	not_set	8	75	10.67
none	not_set	что подарить воспитателям на 8 марта	not_set	not_set	not_set	6	24	25
none	not_set	варианты подарков на 8 марта	not_set	not_set	not_set	8	25	32
yandex/cpc	not_set	фирменный кондитерский магазин	not_set	not_set	not_set	18	24	75
googleads.g.doubleclick.net/campaigns	not_set	(adwords) catalogt.ru	not_set	not_set	not_set	11	54	20.37
yandex/cpc	not_set	что подарить маме день	not_set	not_set	not_set	8	29	27.59
yandex/cpc	not_set	что подарить сестре на 8 марта	not_set	not_set	not_set	8	58	13.79
yandex/cpc	not_set	подарки на 8 марта одноклассницам	not_set	not_set	not_set	12	41	29.27
googleads.g.doubleclick.net/campaigns	not_set	(adwords) popodarkam.ru	not_set	not_set	not_set	7	28	25
none	not_set	(adwords) gifotkrytki.ru	not_set	not_set	not_set	2	29	6.9
none	not_set	оригинальные подарки на 8 марта	not_set	not_set	not_set	72	246	29.27
none	not_set	(adwords) notefood.ru	not_set	not_set	not_set	0	26	0
none	not_set	что подарить подруге на 8 марта	not_set	not_set	not_set	42	137	30.66
none	not_set	main_banner	not_set	not_set	not_set	310	269	115.24
none	not_set	(adwords) sovet-podarok.ru	not_set	not_set	not_set	4	22	18.18
none	not_set	(adwords) legkovmeste.ru	not_set	not_set	not_set	22	83	26.51
none	not_set	подарок на восьмое марта	not_set	not_set	not_set	9	30	30
yandex/cpc	not_set	что подарить бабушке на 8 марта	not_set	not_set	not_set	5	36	13.89
none	not_set	подарок для тещи	not_set	not_set	not_set	5	37	13.51
none	not_set	что подарить дочери на 8 марта	not_set	not_set	not_set	9	52	17.31
yandex/cpc	not_set	подарок для мамы	not_set	not_set	not_set	90	429	20.98
im/newsletter	not_set	main_banner	not_set	not_set	not_set	88	84	104.76
none	not_set	букеты из конфет купить в москве недорого	not_set	not_set	not_set	8	24	33.33
yandex/cpc	not_set	подарки девочкам на 8 марта	not_set	not_set	not_set	51	186	27.42
none	not_set	(adwords) www.svoimi-rukamy.com	not_set	not_set	not_set	3	26	11.54
none	not_set	подарить жене	not_set	not_set	not_set	17	95	17.89
googleads.g.doubleclick.net/campaigns	not_set	(adwords) darlike.ru	not_set	not_set	not_set	39	632	6.17
none	not_set	(adwords) mac-donalds.ru	not_set	not_set	not_set	2	27	7.41
yandex/cpc	not_set	креативные подарки на 8 марта	not_set	not_set	not_set	20	61	32.79
yandex/cpc	not_set	что можно подарить бабушке	not_set	not_set	not_set	1	22	4.55
yandex/cpc	not_set	подарки для женщин	not_set	not_set	not_set	93	312	29.81
none	not_set	(adwords) whatsapp-downloads.ru	not_set	not_set	not_set	0	25	0
none	not_set	что подарить на 8 марта недорого	not_set	not_set	not_set	8	28	28.57
googleads.g.doubleclick.net/campaigns	not_set	(adwords) kfs-menu.ru	not_set	not_set	not_set	0	26	0
none	not_set	что можно подарить девочкам на 8 марта	not_set	not_set	not_set	13	73	17.81
googleads.g.doubleclick.net/campaigns	not_set	(adwords) emaska.ru	not_set	not_set	not_set	1	29	3.45
none	not_set	подарок для девушки	not_set	not_set	not_set	175	583	30.02
yandex/cpc	not_set	подарки на 8 марта	not_set	not_set	not_set	186	574	32.4
yandex/cpc	not_set	подарок дочери на 8 марта	not_set	not_set	not_set	1	22	4.55
none	not_set	(adwords) probnick.ru	not_set	not_set	not_set	7	25	28
none	not_set	(adwords) ladyelena.ru	not_set	not_set	not_set	9	53	16.98
yandex/cpc	not_set	что можно подарить подруге на 8 марта	not_set	not_set	not_set	6	24	25
yandex/cpc	not_set	букет из конфет купить	not_set	not_set	not_set	22	63	34.92
googleads.g.doubleclick.net/campaigns	not_set	(adwords) skidkaonline.ru	not_set	not_set	not_set	23	54	42.59
none	not_set	шоколадный танк	not_set	not_set	not_set	245	239	102.51
googleads.g.doubleclick.net/campaigns	not_set	(adwords) 2018-2018.ru	not_set	not_set	not_set	0	25	0
none	not_set	недорогие подарки на 8 марта	not_set	not_set	not_set	43	155	27.74
yandex/cpc	not_set	конфаэль интернет магазин	not_set	not_set	not_set	52	34	152.94
none	not_set	(adwords) www.a-piter.ru	not_set	not_set	not_set	14	42	33.33
none	not_set	подарок для бабушки	not_set	not_set	not_set	11	80	13.75
none	not_set	что подарить коллегам на 8 марта недорогое	not_set	not_set	not_set	46	126	36.51
none	not_set	креативные подарки на 8 марта	not_set	not_set	not_set	28	77	36.36
googleads.g.doubleclick.net/campaigns	not_set	(adwords) poleznue-soveti.ru	not_set	not_set	not_set	0	28	0
yandex/cpc	not_set	что подарить начальнице на 8 марта	not_set	not_set	not_set	26	36	72.22
none	not_set	шоколадный букет	not_set	not_set	not_set	18	29	62.07
yandex/cpc	not_set	подарок сестре на 8 марта	not_set	not_set	not_set	10	35	28.57
none	not_set	(adwords) 4damki.ru	not_set	not_set	not_set	22	127	17.32
yandex/cpc	not_set	что можно подарить маме на 8 марта	not_set	not_set	not_set	18	105	17.14
none	not_set	(adwords) diskontnie-karty-let.ru	not_set	not_set	not_set	12	139	8.63
none	not_set	что подарить свекрови на 8 марта	not_set	not_set	not_set	12	93	12.9
googleads.g.doubleclick.net/campaigns	not_set	(adwords) 4damki.ru	not_set	not_set	not_set	13	109	11.93
none	not_set	(adwords) polza-vred.su	not_set	not_set	not_set	7	26	26.92
none	not_set	кондитерский магазин	not_set	not_set	not_set	27	80	33.75
yandex/cpc	not_set	что купить на 8 марта	not_set	not_set	not_set	44	118	37.29
yandex/cpc	not_set	подарок на 8 марта маме купить	not_set	not_set	not_set	9	26	34.62
yandex/cpc	not_set	интернет магазин сладостей	not_set	not_set	not_set	9	31	29.03
yandex/cpc	not_set	что подарить дочке на 8 марта	not_set	not_set	not_set	13	67	19.4
none	not_set	подарки на 8 марта купить	not_set	not_set	not_set	131	230	56.96
www.google.ru/organic	not_set	none	not_set	not_set	not_set	2359	7520	31.37
none	not_set	что подарить на 8 марта	not_set	not_set	not_set	82	194	42.27
s4s-eu1.net/referral	not_set	none	not_set	not_set	not_set	37	21	176.19
none	not_set	букет из конфет в корзинке	not_set	not_set	not_set	11	22	50
none	not_set	(adwords) xn----8sbokfktgqcjmg0dp.xn--p1ai	not_set	not_set	not_set	4	85	4.71
yandex/cpc	not_set	конфеты на 8 марта	not_set	not_set	not_set	29	39	74.36
googleads.g.doubleclick.net/campaigns	not_set	(adwords) gifotkrytki.ru	not_set	not_set	not_set	1	30	3.33
yandex/cpc	not_set	подарки коллегам по работе на 8 марта	not_set	not_set	not_set	41	85	48.24
yandex/cpc	not_set	подарки на 8 марта купить в спб	not_set	not_set	not_set	31	86	36.05
googleads.g.doubleclick.net/campaigns	not_set	(adwords) chtomnepodarit.ru	not_set	not_set	not_set	8	37	21.62
yandex/cpc	not_set	подарить жене	not_set	not_set	not_set	19	109	17.43
yandex/cpc	not_set	что подарить на 8 марта	not_set	not_set	not_set	28	63	44.44
none	not_set	подарок на 8 марта начальнице	not_set	not_set	not_set	9	38	23.68
yandex/cpc	not_set	шоколадный танк	not_set	not_set	not_set	187	235	79.57
yandex/cpc	not_set	конфаэль конфеты официальный	not_set	not_set	not_set	32	22	145.45
none	not_set	(adwords) sadovnikpro.ru	not_set	not_set	not_set	10	163	6.13
none	not_set	кондитерский интернет магазин	not_set	not_set	not_set	70	117	59.83
none	not_set	сладкие подарки на 8 марта	not_set	not_set	not_set	55	68	80.88
none	not_set	что можно подарить маме	not_set	not_set	not_set	32	157	20.38
yandex/cpc	not_set	подарки на 8 марта купить	not_set	not_set	not_set	80	159	50.31
none	not_set	подарить девушке	not_set	not_set	not_set	119	537	22.16
none	not_set	шоколадные наборы к 8 марта	not_set	not_set	not_set	29	27	107.41
none	not_set	что подарить свекрови	not_set	not_set	not_set	6	31	19.35
none	not_set	(adwords) nyaskory.ru	not_set	not_set	not_set	27	116	23.28
yandex/cpc	not_set	что подарить одноклассницам на 8 марта	not_set	not_set	not_set	9	65	13.85
none	not_set	что подарить маме день	not_set	not_set	not_set	9	39	23.08
none	not_set	необычные подарки на 8 марта	not_set	not_set	not_set	130	308	42.21
none	not_set	(adwords) proflady.ru	not_set	not_set	not_set	3	25	12
googleads.g.doubleclick.net/campaigns	not_set	(adwords) nacrestike.ru	not_set	not_set	not_set	6	32	18.75
none	not_set	букет из конфет купить в москве	not_set	not_set	not_set	34	49	69.39
yandex/cpc	not_set	что подарить бабушке	not_set	not_set	not_set	17	87	19.54
yandex/cpc	not_set	конфаэль подарки	not_set	not_set	not_set	38	31	122.58
yandex/cpc	not_set	что подарить девушке на 8 марта	not_set	not_set	not_set	159	746	21.31
none	not_set	подарки на 8 марта коллегам	not_set	not_set	not_set	116	210	55.24
none	not_set	подарки на 8 марта москва	not_set	not_set	not_set	26	32	81.25
yandex/cpc	not_set	что можно подарить девушке на 8 марта	not_set	not_set	not_set	17	105	16.19
googleads.g.doubleclick.net/campaigns	not_set	(adwords) sdelajrukami.ru	not_set	not_set	not_set	4	21	19.05
tpc.googlesyndication.com/referral	not_set	none	not_set	not_set	not_set	62	326	19.02
yandex/cpc	not_set	что подарить учительнице на 8 марта	not_set	not_set	not_set	7	24	29.17
none	not_set	подарочные корзины на 8 марта	not_set	not_set	not_set	222	340	65.29
yandex/cpc	not_set	подарок на 8 марта заказать	not_set	not_set	not_set	27	48	56.25
none	not_set	что подарить учительнице на 8 марта	not_set	not_set	not_set	25	56	44.64
none	not_set	букет из шоколада	not_set	not_set	not_set	7	27	25.93
none	not_set	что подарить сестре на 8 марта	not_set	not_set	not_set	5	55	9.09
yandex/cpc	not_set	кондитерские магазины в москве	not_set	not_set	not_set	10	33	30.3
none	not_set	(adwords) sdelajrukami.ru	not_set	not_set	not_set	5	30	16.67
none	not_set	подарки на 8 марта	not_set	not_set	not_set	350	889	39.37
yandex/cpc	not_set	подарки на 8 марта екатеринбург	not_set	not_set	not_set	13	28	46.43
none	not_set	подарить сестре	not_set	not_set	not_set	7	22	31.82
none	not_set	for_woman_7_days	not_set	not_set	not_set	15	32	46.88
googleads.g.doubleclick.net/campaigns	not_set	(adwords) www.davno.ru	not_set	not_set	not_set	21	224	9.38
none	not_set	(adwords) kfs-menu.ru	not_set	not_set	not_set	0	27	0
none	not_set	(adwords) s-zametki.ru	not_set	not_set	not_set	1	38	2.63
none	not_set	(adwords) klumba.guru	not_set	not_set	not_set	4	50	8
none	not_set	(adwords) www.kakprosto.ru	not_set	not_set	not_set	5	22	22.73
yandex/cpc	not_set	что купить маме на 8 марта	not_set	not_set	not_set	5	29	17.24
www.google.kz/organic	not_set	none	not_set	not_set	not_set	133	1108	12
yandex/cpc	not_set	что подарить дочери на 8 марта	not_set	not_set	not_set	1	29	3.45
none	not_set	(adwords) www.jlady.ru	not_set	not_set	not_set	4	22	18.18
yandex/cpc	not_set	что подарить маме на 8 марта	not_set	not_set	not_set	115	473	24.31
googleads.g.doubleclick.net/campaigns	not_set	(adwords) www.kuponika.ru	not_set	not_set	not_set	4	26	15.38
none	not_set	(adwords) halyava-besplatno.ru	not_set	not_set	not_set	5	42	11.9
none	not_set	(adwords) heaclub.ru	not_set	not_set	not_set	15	111	13.51
none	not_set	букеты из конфет на 8 марта	not_set	not_set	not_set	11	31	35.48
none	not_set	конфаэль конфеты	not_set	not_set	not_set	53	36	147.22
none	not_set	(adwords) www.supertosty.ru	not_set	not_set	not_set	1	46	2.17
yandex/cpc	not_set	что оригинальное подарить на 8 марта	not_set	not_set	not_set	3	21	14.29
none	not_set	подарки девочкам на 8 марта	not_set	not_set	not_set	80	267	29.96
none	not_set	подарки для женщин	not_set	not_set	not_set	197	537	36.69
yandex/cpc	not_set	букет из конфет для мужчины	not_set	not_set	not_set	9	41	21.95
none	not_set	подарок любимой на 8 марта	not_set	not_set	not_set	12	46	26.09
yandex/cpc	not_set	что можно купить на 8 марта	not_set	not_set	not_set	13	37	35.14
yandex/cpc	not_set	кондитерский магазин	not_set	not_set	not_set	21	64	32.81
yandex/cpc	not_set	сладкие подарки на 8 марта	not_set	not_set	not_set	21	35	60
none	not_set	подарки женщинам на 8 марта	not_set	not_set	not_set	158	358	44.13
none	not_set	(adwords) www.youtube.com	not_set	not_set	not_set	15	74	20.27
none	not_set	site_7_days	not_set	not_set	not_set	13	28	46.43
none	not_set	шоколадные открытки	not_set	not_set	not_set	45	28	160.71
yandex/cpc	not_set	что подарить жене на 8 марта	not_set	not_set	not_set	49	344	14.24
none	not_set	(adwords) 3d-galleru.ru	not_set	not_set	not_set	1	26	3.85
yandex/cpc	not_set	что подарить девочке на 8 марта	not_set	not_set	not_set	39	178	21.91
yandex/cpc	not_set	недорогие подарки на 8 марта	not_set	not_set	not_set	20	104	19.23
yandex/cpc	not_set	подарки женщинам коллегам на 8 марта	not_set	not_set	not_set	11	42	26.19
yandex/cpc	not_set	что подарить любимой девушке на 8 марта	not_set	not_set	not_set	10	27	37.04
none	not_set	подарок на 8 марта учительнице	not_set	not_set	not_set	11	33	33.33
none	not_set	(adwords) dnevnyk-uspeha.com	not_set	not_set	not_set	26	73	35.62
googleads.g.doubleclick.net/campaigns	not_set	(adwords) povar.ru	not_set	not_set	not_set	7	41	17.07
none	not_set	(adwords) lenta-katalog.ru	not_set	not_set	not_set	10	38	26.32
none	not_set	конфеты на 8 марта	not_set	not_set	not_set	35	50	70
none	not_set	(adwords) akakperevesti.ru	not_set	not_set	not_set	3	22	13.64
googleads.g.doubleclick.net/referral	not_set	none	not_set	not_set	not_set	25	219	11.42
none	not_set	что подарить любимой на 8 марта	not_set	not_set	not_set	10	47	21.28
none	not_set	подарки на 8 марта недорого и оригинально	not_set	not_set	not_set	14	45	31.11
yandex/cpc	not_set	букет из шоколада	not_set	not_set	not_set	2	24	8.33
yandex/cpc	not_set	букет из конфет	not_set	not_set	not_set	76	198	38.38
yandex/cpc	not_set	что подарить свекрови	not_set	not_set	not_set	2	26	7.69
none	not_set	подарок свекрови на 8 марта	not_set	not_set	not_set	6	31	19.35
yandex/cpc	not_set	что купить жене на 8 марта	not_set	not_set	not_set	5	39	12.82
none	not_set	подарок для жены	not_set	not_set	not_set	49	167	29.34
googleads.g.doubleclick.net/campaigns	not_set	(adwords) qstikers.ru	not_set	not_set	not_set	8	36	22.22
google/cpc	not_set	(adwords) giftpic.ru	not_set	not_set	not_set	31	202	15.35
none	not_set	что оригинальное подарить на 8 марта	not_set	not_set	not_set	6	26	23.08
googleads.g.doubleclick.net/campaigns	not_set	(adwords) xn----8sbokfktgqcjmg0dp.xn--p1ai	not_set	not_set	not_set	5	79	6.33
none	not_set	что дарить на 8 марта девушке	not_set	not_set	not_set	7	29	24.14
none	not_set	что можно купить маме на 8 марта	not_set	not_set	not_set	6	23	26.09
none	not_set	none	not_set	not_set	not_set	11816	23443	50.4
none	not_set	букет из конфет купить	not_set	not_set	not_set	29	79	36.71
yandex/cpc	not_set	конфаэль конфеты	not_set	not_set	not_set	44	34	129.41
yandex/cpc	not_set	подарок на 8 марта девушке	not_set	not_set	not_set	49	173	28.32
googleads.g.doubleclick.net/campaigns	not_set	(adwords) lifehacker.ru	not_set	not_set	not_set	5	21	23.81
none	not_set	(adwords) lifehacker.ru	not_set	not_set	not_set	14	36	38.89
none	not_set	что подарить коллегам на 8 марта	not_set	not_set	not_set	44	154	28.57
yandex/cpc	not_set	что можно подарить маме	not_set	not_set	not_set	19	136	13.97
yandex/cpc	not_set	подарить на 8 марта сотрудницам	not_set	not_set	not_set	7	24	29.17
yandex/cpc	not_set	подарочные наборы на 8 марта	not_set	not_set	not_set	58	126	46.03
yandex/cpc	not_set	подарок для тещи	not_set	not_set	not_set	2	27	7.41
none	not_set	подарки на 8 марта одноклассницам	not_set	not_set	not_set	25	72	34.72
none	not_set	(adwords) rizhskij-rynok.ru	not_set	not_set	not_set	9	29	31.03
yandex/cpc	not_set	что подарить подруге	not_set	not_set	not_set	17	115	14.78
yandex/cpc	not_set	конфаэль	not_set	not_set	not_set	323	219	147.49
