idSite	campaign_id	banner_id	device	ad_group_id	criteria_id	avg_click_position	slot	location_of_presence_id	AdRetargetindId	placement	AdTargetId	AdvertisingSystem	DRF	utm_content	utm_term	utm_medium	utm_campaign	utm_source	date	impressions	clicks	cost	integration_id	sign	avg_impression_position	referrerTypeName	source_medium	marketing_source	traffic_channel	account_login	location_of_presence_name	avg_impression_position_round	avg_click_position_round	effective_impressions
33	28515891	4452616962	desktop	2787666876	10297232233	--	other	21621	none	Яндекс	none	yandex direct	none	base	настройка яндекс директ	cpc	28515891.set_kontextnaya_reklama	yandex	2019-01-02	1	0	0.00	137	1	--	Campaigns	yandex/cpc	yandex	cpc	direct2016akr2017	Реутов	--	--	0
33	28515891	4452616962	mobile	2787666876	10297232233	--	other	213	none	Яндекс	none	yandex direct	none	base	настройка яндекс директ	cpc	28515891.set_kontextnaya_reklama	yandex	2019-01-02	1	0	0.00	137	1	--	Campaigns	yandex/cpc	yandex	cpc	direct2016akr2017	Москва	--	--	0
33	28515891	4452616964	tablet	2787666878	10297232237	--	other	213	none	Яндекс	none	yandex direct	none	base	google adwords	cpc	28515891.set_kontextnaya_reklama	yandex	2019-01-02	1	0	0.00	137	1	--	Campaigns	yandex/cpc	yandex	cpc	direct2016akr2017	Москва	--	--	0
33	28515891	4452617027	desktop	2787666946	10297232357	--	other	213	none	Яндекс	none	yandex direct	none	base	яндекс директ	cpc	28515891.set_kontextnaya_reklama	yandex	2019-01-02	1	0	0.00	137	1	--	Campaigns	yandex/cpc	yandex	cpc	direct2016akr2017	Москва	--	--	0
33	28515891	4453509643	desktop	2787666876	10297232233	--	other	213	none	Яндекс	none	yandex direct	none	base_hd	настройка яндекс директ	cpc	28515891.set_kontextnaya_reklama	yandex	2019-01-02	1	0	0.00	137	1	--	Campaigns	yandex/cpc	yandex	cpc	direct2016akr2017	Москва	--	--	0
33	28515891	4453509708	desktop	2787666946	10297232357	--	other	213	none	Яндекс	none	yandex direct	none	base_hd	яндекс директ	cpc	28515891.set_kontextnaya_reklama	yandex	2019-01-02	2	0	0.00	137	1	--	Campaigns	yandex/cpc	yandex	cpc	direct2016akr2017	Москва	--	--	0
33	28515891	4453509708	tablet	2787666946	10297232357	--	other	10765	none	Яндекс	none	yandex direct	none	base_hd	яндекс директ	cpc	28515891.set_kontextnaya_reklama	yandex	2019-01-02	1	0	0.00	137	1	--	Campaigns	yandex/cpc	yandex	cpc	direct2016akr2017	Щелково	--	--	0
33	28830090	4522452804	desktop	2818188603	10451185834	--	other	213	none	Яндекс	none	yandex direct	none	x2	google adwords	cpc	28830090.set_kontextnaya_reklama_udvaivaem_prodazhi	yandex	2019-01-02	2	0	0.00	137	1	--	Campaigns	yandex/cpc	yandex	cpc	direct2016akr2017	Москва	--	--	0
33	28830090	4522452888	desktop	2818188603	10451185834	--	other	10723	none	Яндекс	none	yandex direct	none	speedometr	google adwords	cpc	28830090.set_kontextnaya_reklama_udvaivaem_prodazhi	yandex	2019-01-02	1	0	0.00	137	1	--	Campaigns	yandex/cpc	yandex	cpc	direct2016akr2017	Дмитров	--	--	0
33	28515891	4453176378	desktop	2787980736	10298451903	--	other	213	none	220vk.com	none	yandex direct	none	banner_300x300	настройка яндекс директ	cpc	28515891.set_kontextnaya_reklama	yandex	2019-01-02	1	0	0.00	137	1	--	Campaigns	yandex/cpc	yandex	cpc	direct2016akr2017	Москва	--	--	0
33	28515891	4453176378	desktop	2787980736	10298451816	--	other	213	none	220vk.com	none	yandex direct	none	banner_300x300	реклама директ	cpc	28515891.set_kontextnaya_reklama	yandex	2019-01-02	2	0	0.00	137	1	--	Campaigns	yandex/cpc	yandex	cpc	direct2016akr2017	Москва	--	--	0
33	28515891	4453509695	desktop	2787666932	10297232334	--	other	213	none	220vk.com	none	yandex direct	none	base_hd	реклама директ	cpc	28515891.set_kontextnaya_reklama	yandex	2019-01-02	1	0	0.00	137	1	--	Campaigns	yandex/cpc	yandex	cpc	direct2016akr2017	Москва	--	--	0
33	28515891	4453509695	tablet	2787666932	10297232334	--	other	213	none	220vk.com	none	yandex direct	none	base_hd	реклама директ	cpc	28515891.set_kontextnaya_reklama	yandex	2019-01-02	1	0	0.00	137	1	--	Campaigns	yandex/cpc	yandex	cpc	direct2016akr2017	Москва	--	--	0
